Phone,Event type,Date,Time Stamp
(474) 926-3520,Data,01/04/2018,11:15:23
(881) 403-6674,SMS,01/04/2018,05:05:01
(686) 768-2979,Voice,01/04/2018,00:51:42
(444) 337-7869,Data,01/04/2018,22:52:40
(444) 337-7870,SMS,01/04/2018,22:43:41
(444) 337-7871,Voice,01/04/2018,14:53:59
(535) 696-1497,Data,01/04/2018,19:17:45
(655) 669-8041,SMS,01/04/2018,17:41:12
(273) 760-9756,Voice,01/04/2018,18:31:28
(723) 477-1980,Data,01/04/2018,04:20:54
(723) 477-1981,SMS,01/04/2018,06:36:24
(502) 670-8014,Voice,01/04/2018,20:42:07
(951) 227-5563,Data,01/04/2018,06:36:29
(686) 768-2979,Voice,01/04/2018,02:51:42
(673) 219-8715,SMS,01/04/2018,04:30:17
(671) 903-9143,Voice,01/04/2018,15:03:13
(220) 644-4471,Data,01/04/2018,16:54:50
(554) 630-7533,SMS,01/04/2018,06:50:42
(570) 313-5123,Voice,01/04/2018,22:57:06
(382) 531-4560,Data,01/04/2018,03:31:28
(602) 859-9027,SMS,01/04/2018,17:13:51
(579) 321-1832,Voice,01/04/2018,03:31:07
(547) 961-4400,Data,01/04/2018,02:08:25
(280) 586-8630,SMS,01/04/2018,00:56:47
(342) 609-7838,Voice,01/04/2018,01:33:49
(588) 489-7170,Data,01/04/2018,03:26:42
(671) 575-1264,SMS,01/04/2018,21:48:23
(651) 439-3273,Voice,01/04/2018,09:49:39
(721) 368-1140,Data,01/04/2018,08:29:06
(323) 427-3096,SMS,01/04/2018,22:48:00
(532) 230-4434,Voice,01/04/2018,20:42:38
(683) 867-6713,Data,01/04/2018,11:29:55
(430) 261-3199,SMS,01/04/2018,14:18:19
(549) 323-4686,Voice,01/04/2018,17:40:39
(435) 252-8718,Data,01/04/2018,16:44:24
(560) 338-2665,SMS,01/04/2018,00:16:32
(722) 246-1837,Voice,01/04/2018,21:38:28
(689) 945-3226,Data,01/04/2018,06:21:49
(651) 439-3273,SMS,01/04/2018,05:48:58
(686) 768-2979,Voice,01/04/2018,12:51:42
