employee guid,first name,last name,gender,email,age,birthday,active,street,postal,province,city,longitude,latitude,package,vendor,phone,package cost,contract start,contract end
1a918660-76a8-5a3f-b625-1a22c86bc249,Maud,Moreno,Male,mome@tulbitij.na,45,5/4/1978,FALSE,Ojuv Place,M7E 4F7,AB,Joseseva,57.42203,-65.18774,pack1,Vodacom,(341) 309-1668,$5307.39,02/09/1946,03/08/2037
405e2d8a-1f19-5b4c-9775-263ca81b5269,Jim,Gordon,Male,le@uhibov.fo,48,10/20/1953,TRUE,Bocbih Key,C6F 0B0,NB,Gownibi,105.39569,-54.10856,pack2,MTN,(542) 489-5059,$2492.85,01/21/1997,12/07/1995
9f6abfef-3f9c-54be-b2fd-931214f82e6d,Shawn,Sutton,Male,curgosac@ibpol.im,27,3/11/1979,TRUE,Zejjib Avenue,B4C 5O6,NB,Takjusha,21.89206,36.3112,pack3,Cell C,(474) 926-3520,$3721.13,06/05/2050,10/02/1942
883eed71-986c-51e4-8b51-321283a066ee,Winifred,Daniel,Male,zewicibe@liru.vg,18,11/17/1988,FALSE,Idmom Place,K5E 6K0,QC,Giljocun,58.76703,55.87697,pack4,Vodacom,(568) 722-4684,$8417.13,12/15/1996,06/23/1987
5ed0cd45-e183-5220-a2d8-0c031f93a17c,Martha,Coleman,Male,mekisu@ko.ws,62,10/13/1977,FALSE,Hujzo Lane,V4S 3K9,QC,Gahuwro,148.07859,45.29571,pack5,MTN,(475) 238-8072,$4271.45,10/31/1979,11/28/1972
1882e618-792a-513d-bfe6-c8ad25553f9e,Harry,Russell,Female,cokafeil@laf.as,18,9/11/1994,FALSE,Utku Loop,X9S 6B4,BC,Nijbiab,67.21416,-88.17511,pack6,Cell C,(881) 403-6674,$7716.56,03/25/1971,01/21/2063
c98e5d39-b570-5177-9181-42e09f9373ff,Rodney,Wilkins,Male,pim@bode.tp,32,8/6/1989,FALSE,Walo Square,C5I 2X2,SK,Jehnulo,-0.2513,84.95857,pack7,Vodacom,(689) 945-3116,$5617.19,06/09/2064,10/22/2052
e118087c-365d-5490-9c8a-584b0290a0c3,Franklin,Watts,Male,zo@oz.dj,32,10/26/1961,FALSE,Rilwo Road,M4C 8M7,SK,Watbeba,168.9701,-87.01043,pack8,MTN,(935) 301-8594,$2812.95,01/19/2067,02/02/2058
caa82edb-cade-5989-bd2b-45a7e0c79cd0,Kathryn,Nash,Male,piric@nem.zm,38,1/15/1963,TRUE,Tuvewi Terrace,L7M 6K9,NS,Fawwabno,-72.06361,49.09933,pack9,Cell C,(686) 768-2979,$7698.76,05/07/1978,11/16/2048
2e34897a-cf97-5193-acdd-9dca2537469e,Lillie,Sharp,Female,zogrefgig@lafagu.co.za,63,12/18/1971,TRUE,Feka Trail,H1Q 5H2,NS,Tadvosij,-95.19411,20.10059,pack10,Vodacom,(453) 709-1137,$7479.62,01/19/2000,03/29/2044
53b1614e-e041-5c21-8202-e6ca8fe41af6,Mittie,Boyd,Female,ene@takubrab.sn,37,4/20/1972,FALSE,Vobej Park,K1A 3V0,SK,Dartawha,67.5378,32.41516,pack11,MTN,(958) 842-2752,$3654.08,07/03/2023,02/10/2008
49fc20cd-9f5a-5195-b7b5-366f5d84c446,Terry,Gregory,Female,zavof@dal.mm,55,7/22/1956,TRUE,Cuci View,R2Z 5W5,SK,Hurcibzo,34.8512,10.56871,pack12,Cell C,(444) 337-7869,$3213.80,02/26/2050,01/10/1932
49fc20cd-9f5a-5195-b7b5-366f5d84c446,Terry,Gregory,Female,zavof@dal.mm,56,7/22/1957,TRUE,Cuci View,R2Z 5W6,SK,Hurcibzo,34.8512,10.56871,pack13,Cell C,(444) 337-7870,$3213.81,02/26/2051,01/10/1933
49fc20cd-9f5a-5195-b7b5-366f5d84c446,Terry,Gregory,Female,zavof@dal.mm,57,7/22/1958,TRUE,Cuci View,R2Z 5W7,SK,Hurcibzo,34.8512,10.56871,pack14,Cell C,(444) 337-7871,$3213.82,02/26/2052,01/10/1934
