Phone,Event type,Date,Time Stamp
(542) 489-5059,SMS,01/04/2018,19:59:07
(475) 238-8072,Data,01/04/2018,09:11:01
(935) 301-8594,Voice,01/04/2018,03:44:14
(958) 842-2752,SMS,01/04/2018,03:34:07
(719) 575-8811,Data,01/04/2018,03:10:22
(959) 991-3392,Voice,01/04/2018,07:32:20
(676) 205-6194,SMS,01/04/2018,11:53:16
(340) 477-9772,Data,01/04/2018,22:51:20
(340) 477-9773,Voice,01/04/2018,20:42:49
(282) 907-4697,SMS,01/04/2018,15:52:53
(925) 793-2608,Data,01/04/2018,14:28:51
(878) 304-5304,Voice,01/04/2018,18:51:21
(648) 268-8961,SMS,01/04/2018,16:40:36
(359) 921-8630,Data,01/04/2018,18:34:00
(752) 383-5853,Voice,01/04/2018,17:09:42
(715) 526-4123,SMS,01/04/2018,00:11:23
(309) 200-2241,Data,01/04/2018,18:30:16
(706) 307-8307,Voice,01/04/2018,20:28:52
(201) 972-9707,SMS,01/04/2018,06:19:19
(876) 250-3873,Data,01/04/2018,10:58:32
(633) 436-2957,Voice,01/04/2018,18:21:27
(555) 294-2530,SMS,01/04/2018,22:55:38
(283) 646-8843,Data,01/04/2018,10:02:01
(313) 585-6891,Voice,01/04/2018,21:26:27
(506) 430-2665,SMS,01/04/2018,07:26:33
(935) 217-7809,Data,01/04/2018,08:28:06
(784) 926-5613,Voice,01/04/2018,07:40:01
(782) 377-2885,SMS,01/04/2018,06:36:05
(483) 227-1250,Data,01/04/2018,22:08:46
(314) 829-1273,Voice,01/04/2018,09:03:22
(767) 633-8082,SMS,01/04/2018,00:51:54
(825) 786-1342,Data,01/04/2018,10:05:15
(209) 859-4898,Voice,01/04/2018,22:45:36
(626) 481-3195,SMS,01/04/2018,21:25:10
(531) 846-8640,Data,01/04/2018,08:03:29
(506) 430-2665,Voice,01/04/2018,09:51:06
(935) 217-7809,SMS,01/04/2018,21:12:48
(542) 489-5060,Data,01/04/2018,12:18:44
(475) 238-8073,Voice,01/04/2018,06:51:56
(935) 301-8595,SMS,01/04/2018,03:03:51
(958) 842-2753,Data,01/04/2018,23:10:31
(719) 575-8812,Voice,01/04/2018,19:07:48
(959) 991-3393,SMS,01/04/2018,00:43:58
(676) 205-6195,Data,01/04/2018,20:40:06
(340) 477-9774,Voice,01/04/2018,09:53:04
(340) 477-9775,SMS,01/04/2018,23:31:10
