Phone,Event type,Date,Time Stamp
(341) 309-1668,Voice,01/04/2018,8:57:33
(568) 722-4684,SMS,01/04/2018,3:54:55
(689) 945-3116,Data,01/04/2018,14:37:36
(453) 709-1137,Voice,01/04/2018,1:19:20
(342) 641-5991,SMS,01/04/2018,6:38:58
(873) 527-9332,Data,01/04/2018,17:07:56
(507) 374-7314,Voice,01/04/2018,9:03:33
(959) 317-8103,SMS,01/04/2018,8:07:34
(433) 815-9223,Data,01/04/2018,12:33:11
(765) 711-7900,Voice,01/04/2018,1:30:04
(913) 658-5167,SMS,01/04/2018,21:23:24
(638) 870-8461,Data,01/04/2018,12:19:29
(219) 578-1111,Voice,01/04/2018,12:30:42
(680) 684-3848,SMS,01/04/2018,11:42:07
(805) 308-1228,Data,01/04/2018,12:14:57
(575) 569-6840,Voice,01/04/2018,13:50:41
(570) 210-2488,SMS,01/04/2018,0:37:31
(330) 571-2417,Data,01/04/2018,17:19:23
(345) 474-8928,Voice,01/04/2018,22:51:14
(537) 714-8359,SMS,01/04/2018,13:06:17
(456) 515-6302,Data,01/04/2018,15:57:10
(417) 957-4035,Voice,01/04/2018,16:11:48
(476) 497-4372,SMS,01/04/2018,19:16:12
(688) 678-7436,Data,01/04/2018,10:49:44
(842) 917-8723,Voice,01/04/2018,13:29:54
(905) 411-7978,SMS,01/04/2018,19:38:59
(930) 297-7018,Data,01/04/2018,18:09:27
(356) 690-1752,Voice,01/04/2018,19:25:57
(848) 880-4359,SMS,01/04/2018,12:01:23
(376) 323-7597,Data,01/04/2018,23:00:02
(968) 441-2613,Voice,01/04/2018,0:41:42
(531) 846-8639,SMS,01/04/2018,19:49:25
(678) 683-9102,Data,01/04/2018,7:39:41
(568) 441-6599,Voice,01/04/2018,10:06:28
(282) 907-4690,SMS,01/04/2018,9:27:12
(842) 917-8723,Data,01/04/2018,18:10:15
(341) 309-1669,Voice,01/04/2018,16:54:28
(568) 722-4685,SMS,01/04/2018,12:02:12
(689) 945-3117,Data,01/04/2018,20:07:44
(453) 709-1138,Voice,01/04/2018,3:48:07
(342) 641-5992,SMS,01/04/2018,6:46:33
(873) 527-9333,Data,01/04/2018,1:42:24
(507) 374-7315,Voice,01/04/2018,22:43:22
(959) 317-8104,SMS,01/04/2018,9:35:59
(433) 815-9224,Data,01/04/2018,12:50:01
(765) 711-7901,Voice,01/04/2018,11:03:44
(913) 658-5168,SMS,01/04/2018,11:33:45
(638) 870-8462,Data,01/04/2018,0:41:23
(219) 578-1112,Voice,01/04/2018,14:43:58
(680) 684-3849,SMS,01/04/2018,12:35:18
(805) 308-1229,Data,01/04/2018,8:07:45
(575) 569-6841,Voice,01/04/2018,18:23:39
(570) 210-2489,SMS,01/04/2018,2:50:06
(330) 571-2418,Data,01/04/2018,11:30:56
(345) 474-8929,Voice,01/04/2018,8:55:30
(537) 714-8360,SMS,01/04/2018,8:10:25
(456) 515-6303,Data,01/04/2018,17:46:33
(417) 957-4036,Voice,01/04/2018,10:23:43
(476) 497-4373,SMS,01/04/2018,15:48:25
(688) 678-7437,Data,01/04/2018,19:37:37
(842) 917-8724,Voice,01/04/2018,11:02:51
(905) 411-7979,SMS,01/04/2018,22:15:36
(930) 297-7019,Data,01/04/2018,18:36:25
(356) 690-1753,Voice,01/04/2018,23:11:52
(848) 880-4360,SMS,01/04/2018,10:50:32
(376) 323-7598,Data,01/04/2018,15:42:16
(968) 441-2614,Voice,01/04/2018,15:45:03
(531) 846-8640,SMS,01/04/2018,10:19:08
(678) 683-9103,Data,01/04/2018,11:39:44
(568) 441-6600,Voice,01/04/2018,17:20:44
(282) 907-4691,SMS,01/04/2018,13:12:41
(842) 917-8724,Data,01/04/2018,9:57:44
(341) 309-1670,Voice,01/04/2018,19:19:04
(568) 722-4686,SMS,01/04/2018,14:00:40
(689) 945-3118,Data,01/04/2018,0:14:24
(453) 709-1139,Voice,01/04/2018,1:00:54
(342) 641-5993,SMS,01/04/2018,19:26:29
(873) 527-9334,Data,01/04/2018,13:36:34
(507) 374-7316,Voice,01/04/2018,11:51:39
(959) 317-8105,SMS,01/04/2018,7:26:11
(433) 815-9225,Data,01/04/2018,21:52:28
(765) 711-7902,Voice,01/04/2018,14:06:13
(913) 658-5169,SMS,01/04/2018,11:28:04
(638) 870-8463,Data,01/04/2018,0:26:28
(219) 578-1113,Voice,01/04/2018,5:02:30
(680) 684-3850,SMS,01/04/2018,13:09:33
(805) 308-1230,Data,01/04/2018,4:58:22
(575) 569-6842,Voice,01/04/2018,10:21:21
(570) 210-2490,SMS,01/04/2018,20:45:32
(330) 571-2419,Data,01/04/2018,0:00:08
(345) 474-8930,Voice,01/04/2018,10:00:05
(537) 714-8361,SMS,01/04/2018,8:51:33
(456) 515-6304,Data,01/04/2018,6:12:20
(417) 957-4037,Voice,01/04/2018,16:29:40
(476) 497-4374,SMS,01/04/2018,11:06:44
(688) 678-7438,Data,01/04/2018,4:51:33
(842) 917-8725,Voice,01/04/2018,10:19:30
(905) 411-7980,SMS,01/04/2018,19:57:29
(930) 297-7020,Data,01/04/2018,10:08:43
(356) 690-1754,Voice,01/04/2018,16:38:21
(848) 880-4361,SMS,01/04/2018,20:22:11
(376) 323-7599,Data,01/04/2018,3:01:07
(968) 441-2615,Voice,01/04/2018,13:36:26
(531) 846-8641,SMS,01/04/2018,21:16:01
(678) 683-9104,Data,01/04/2018,3:56:16
(568) 441-6601,Voice,01/04/2018,10:15:11
(282) 907-4692,SMS,01/04/2018,9:05:00
(842) 917-8725,Data,01/04/2018,18:04:17
(341) 309-1671,Voice,01/04/2018,18:38:15
(568) 722-4687,SMS,01/04/2018,11:27:28
(689) 945-3119,Data,01/04/2018,8:08:01
(453) 709-1140,Voice,01/04/2018,13:35:53
(342) 641-5994,SMS,01/04/2018,5:17:50
(873) 527-9335,Data,01/04/2018,3:51:57
